group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,Prove,4,4,elements,5055353375.0,ns,1
dot,Prove,4,4,elements,5195959158.0,ns,1
dot,Prove,4,4,elements,5048461133.0,ns,1
dot,Prove,4,4,elements,5195231123.0,ns,1
dot,Prove,4,4,elements,5062712752.0,ns,1
dot,Prove,4,4,elements,5218651438.0,ns,1
dot,Prove,4,4,elements,5009352084.0,ns,1
dot,Prove,4,4,elements,5261182091.0,ns,1
dot,Prove,4,4,elements,5026380996.0,ns,1
dot,Prove,4,4,elements,5236660896.0,ns,1
dot,Prove,4,4,elements,5008598208.0,ns,1
dot,Prove,4,4,elements,5210471311.0,ns,1
dot,Prove,4,4,elements,5008314722.0,ns,1
dot,Prove,4,4,elements,5279726274.0,ns,1
dot,Prove,4,4,elements,5075882551.0,ns,1
dot,Prove,4,4,elements,5217339006.0,ns,1
dot,Prove,4,4,elements,5002462234.0,ns,1
dot,Prove,4,4,elements,5197945914.0,ns,1
dot,Prove,4,4,elements,5008895505.0,ns,1
dot,Prove,4,4,elements,5207211397.0,ns,1
