group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,KeyGen,32,32,elements,52008765.0,ns,5
dot,KeyGen,32,32,elements,72991412.0,ns,10
dot,KeyGen,32,32,elements,92449142.0,ns,15
dot,KeyGen,32,32,elements,109633572.0,ns,20
dot,KeyGen,32,32,elements,164583288.0,ns,25
dot,KeyGen,32,32,elements,226231033.0,ns,30
dot,KeyGen,32,32,elements,314131731.0,ns,35
dot,KeyGen,32,32,elements,271946791.0,ns,40
dot,KeyGen,32,32,elements,329138428.0,ns,45
dot,KeyGen,32,32,elements,356643243.0,ns,50
dot,KeyGen,32,32,elements,436684538.0,ns,55
dot,KeyGen,32,32,elements,395401370.0,ns,60
dot,KeyGen,32,32,elements,478634222.0,ns,65
dot,KeyGen,32,32,elements,554314488.0,ns,70
dot,KeyGen,32,32,elements,485068773.0,ns,75
dot,KeyGen,32,32,elements,566968776.0,ns,80
dot,KeyGen,32,32,elements,546334153.0,ns,85
dot,KeyGen,32,32,elements,568463362.0,ns,90
dot,KeyGen,32,32,elements,555806622.0,ns,95
dot,KeyGen,32,32,elements,1000857326.0,ns,100
