group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
conv,ProofForOneGate,16,16,elements,30781761.0,ns,2
conv,ProofForOneGate,16,16,elements,58080704.0,ns,4
conv,ProofForOneGate,16,16,elements,140006295.0,ns,6
conv,ProofForOneGate,16,16,elements,153857856.0,ns,8
conv,ProofForOneGate,16,16,elements,173929677.0,ns,10
conv,ProofForOneGate,16,16,elements,170261934.0,ns,12
conv,ProofForOneGate,16,16,elements,188097907.0,ns,14
conv,ProofForOneGate,16,16,elements,210816081.0,ns,16
conv,ProofForOneGate,16,16,elements,382637644.0,ns,18
conv,ProofForOneGate,16,16,elements,281088310.0,ns,20
conv,ProofForOneGate,16,16,elements,456852032.0,ns,22
conv,ProofForOneGate,16,16,elements,451304950.0,ns,24
conv,ProofForOneGate,16,16,elements,536097682.0,ns,26
conv,ProofForOneGate,16,16,elements,423389123.0,ns,28
conv,ProofForOneGate,16,16,elements,449887223.0,ns,30
conv,ProofForOneGate,16,16,elements,483046999.0,ns,32
conv,ProofForOneGate,16,16,elements,512490317.0,ns,34
conv,ProofForOneGate,16,16,elements,528584105.0,ns,36
conv,ProofForOneGate,16,16,elements,686995938.0,ns,38
conv,ProofForOneGate,16,16,elements,812570896.0,ns,40
