group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
conv,ProofForOneGate,4,4,elements,20869653.0,ns,5
conv,ProofForOneGate,4,4,elements,39355037.0,ns,10
conv,ProofForOneGate,4,4,elements,62289986.0,ns,15
conv,ProofForOneGate,4,4,elements,81357493.0,ns,20
conv,ProofForOneGate,4,4,elements,101283957.0,ns,25
conv,ProofForOneGate,4,4,elements,121785267.0,ns,30
conv,ProofForOneGate,4,4,elements,144218052.0,ns,35
conv,ProofForOneGate,4,4,elements,161802030.0,ns,40
conv,ProofForOneGate,4,4,elements,178373166.0,ns,45
conv,ProofForOneGate,4,4,elements,195284666.0,ns,50
conv,ProofForOneGate,4,4,elements,216039300.0,ns,55
conv,ProofForOneGate,4,4,elements,239372873.0,ns,60
conv,ProofForOneGate,4,4,elements,358704914.0,ns,65
conv,ProofForOneGate,4,4,elements,368736057.0,ns,70
conv,ProofForOneGate,4,4,elements,449057085.0,ns,75
conv,ProofForOneGate,4,4,elements,377888865.0,ns,80
conv,ProofForOneGate,4,4,elements,546486413.0,ns,85
conv,ProofForOneGate,4,4,elements,370997875.0,ns,90
conv,ProofForOneGate,4,4,elements,442879836.0,ns,95
conv,ProofForOneGate,4,4,elements,489064795.0,ns,100
