group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,Prove,256,256,elements,212904393.0,ns,1
dot,Prove,256,256,elements,155471828.0,ns,1
dot,Prove,256,256,elements,157636202.0,ns,1
dot,Prove,256,256,elements,196024858.0,ns,1
dot,Prove,256,256,elements,161005789.0,ns,1
dot,Prove,256,256,elements,146097870.0,ns,1
dot,Prove,256,256,elements,153787692.0,ns,1
dot,Prove,256,256,elements,152341487.0,ns,1
dot,Prove,256,256,elements,154683606.0,ns,1
dot,Prove,256,256,elements,162436136.0,ns,1
dot,Prove,256,256,elements,155265632.0,ns,1
dot,Prove,256,256,elements,223404298.0,ns,1
dot,Prove,256,256,elements,263803324.0,ns,1
dot,Prove,256,256,elements,157653865.0,ns,1
dot,Prove,256,256,elements,159204545.0,ns,1
dot,Prove,256,256,elements,154871581.0,ns,1
dot,Prove,256,256,elements,149071137.0,ns,1
dot,Prove,256,256,elements,147093490.0,ns,1
dot,Prove,256,256,elements,148959791.0,ns,1
dot,Prove,256,256,elements,200768947.0,ns,1
