group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,Prove,16,16,elements,5124797172.0,ns,1
dot,Prove,16,16,elements,5030060643.0,ns,1
dot,Prove,16,16,elements,5009073841.0,ns,1
dot,Prove,16,16,elements,5073945102.0,ns,1
dot,Prove,16,16,elements,4969364863.0,ns,1
dot,Prove,16,16,elements,5080710957.0,ns,1
dot,Prove,16,16,elements,4986481413.0,ns,1
dot,Prove,16,16,elements,5056812538.0,ns,1
dot,Prove,16,16,elements,4985256529.0,ns,1
dot,Prove,16,16,elements,5056654757.0,ns,1
dot,Prove,16,16,elements,4948740259.0,ns,1
dot,Prove,16,16,elements,5045603783.0,ns,1
dot,Prove,16,16,elements,4965190648.0,ns,1
dot,Prove,16,16,elements,5091811259.0,ns,1
dot,Prove,16,16,elements,4959760447.0,ns,1
dot,Prove,16,16,elements,5039390348.0,ns,1
dot,Prove,16,16,elements,4982807993.0,ns,1
dot,Prove,16,16,elements,5071058968.0,ns,1
dot,Prove,16,16,elements,4986865012.0,ns,1
dot,Prove,16,16,elements,5032928175.0,ns,1
