group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
conv,ProofForOneGate,8,8,elements,35816474.0,ns,2
conv,ProofForOneGate,8,8,elements,60841403.0,ns,4
conv,ProofForOneGate,8,8,elements,45831770.0,ns,6
conv,ProofForOneGate,8,8,elements,56704039.0,ns,8
conv,ProofForOneGate,8,8,elements,70589262.0,ns,10
conv,ProofForOneGate,8,8,elements,84572401.0,ns,12
conv,ProofForOneGate,8,8,elements,100758849.0,ns,14
conv,ProofForOneGate,8,8,elements,112025470.0,ns,16
conv,ProofForOneGate,8,8,elements,121563134.0,ns,18
conv,ProofForOneGate,8,8,elements,184863534.0,ns,20
conv,ProofForOneGate,8,8,elements,196005125.0,ns,22
conv,ProofForOneGate,8,8,elements,203623171.0,ns,24
conv,ProofForOneGate,8,8,elements,210272387.0,ns,26
conv,ProofForOneGate,8,8,elements,235103333.0,ns,28
conv,ProofForOneGate,8,8,elements,247288191.0,ns,30
conv,ProofForOneGate,8,8,elements,705214956.0,ns,32
conv,ProofForOneGate,8,8,elements,477282828.0,ns,34
conv,ProofForOneGate,8,8,elements,251862732.0,ns,36
conv,ProofForOneGate,8,8,elements,268148779.0,ns,38
conv,ProofForOneGate,8,8,elements,275198892.0,ns,40
