group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
conv,ProofForAccumConv,8,8,elements,11119380114.0,ns,1
conv,ProofForAccumConv,8,8,elements,8537534464.0,ns,1
conv,ProofForAccumConv,8,8,elements,7177922964.0,ns,1
conv,ProofForAccumConv,8,8,elements,7809658693.0,ns,1
conv,ProofForAccumConv,8,8,elements,7199091445.0,ns,1
conv,ProofForAccumConv,8,8,elements,7129489966.0,ns,1
conv,ProofForAccumConv,8,8,elements,7585697785.0,ns,1
conv,ProofForAccumConv,8,8,elements,13386929369.0,ns,1
conv,ProofForAccumConv,8,8,elements,17529912946.0,ns,1
conv,ProofForAccumConv,8,8,elements,12056118164.0,ns,1
conv,ProofForAccumConv,8,8,elements,10393848731.0,ns,1
conv,ProofForAccumConv,8,8,elements,6506538795.0,ns,1
conv,ProofForAccumConv,8,8,elements,7601916978.0,ns,1
conv,ProofForAccumConv,8,8,elements,14793603820.0,ns,1
conv,ProofForAccumConv,8,8,elements,5667807024.0,ns,1
conv,ProofForAccumConv,8,8,elements,6099928811.0,ns,1
conv,ProofForAccumConv,8,8,elements,6383214887.0,ns,1
conv,ProofForAccumConv,8,8,elements,5961478778.0,ns,1
conv,ProofForAccumConv,8,8,elements,7807584248.0,ns,1
conv,ProofForAccumConv,8,8,elements,6262580540.0,ns,1
