group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,Prove,512,512,elements,370388424.0,ns,2
dot,Prove,512,512,elements,332507300.0,ns,2
dot,Prove,512,512,elements,311652524.0,ns,2
dot,Prove,512,512,elements,310311717.0,ns,2
dot,Prove,512,512,elements,321478005.0,ns,2
dot,Prove,512,512,elements,418909004.0,ns,2
dot,Prove,512,512,elements,343997974.0,ns,2
dot,Prove,512,512,elements,466400521.0,ns,2
dot,Prove,512,512,elements,359907610.0,ns,2
dot,Prove,512,512,elements,573900976.0,ns,2
dot,Prove,512,512,elements,368345287.0,ns,2
dot,Prove,512,512,elements,388290230.0,ns,2
dot,Prove,512,512,elements,398170732.0,ns,2
dot,Prove,512,512,elements,441294956.0,ns,2
dot,Prove,512,512,elements,359118235.0,ns,2
dot,Prove,512,512,elements,384407307.0,ns,2
dot,Prove,512,512,elements,340873471.0,ns,2
dot,Prove,512,512,elements,373302340.0,ns,2
dot,Prove,512,512,elements,470550628.0,ns,2
dot,Prove,512,512,elements,383139009.0,ns,2
