group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
conv,ProofForOneGate,256,256,elements,347478615.0,ns,1
conv,ProofForOneGate,256,256,elements,367294954.0,ns,1
conv,ProofForOneGate,256,256,elements,379149580.0,ns,1
conv,ProofForOneGate,256,256,elements,314437902.0,ns,1
conv,ProofForOneGate,256,256,elements,328615272.0,ns,1
conv,ProofForOneGate,256,256,elements,354888330.0,ns,1
conv,ProofForOneGate,256,256,elements,332046978.0,ns,1
conv,ProofForOneGate,256,256,elements,357615902.0,ns,1
conv,ProofForOneGate,256,256,elements,358430562.0,ns,1
conv,ProofForOneGate,256,256,elements,315772379.0,ns,1
conv,ProofForOneGate,256,256,elements,357263192.0,ns,1
conv,ProofForOneGate,256,256,elements,383233585.0,ns,1
conv,ProofForOneGate,256,256,elements,326424107.0,ns,1
conv,ProofForOneGate,256,256,elements,378768647.0,ns,1
conv,ProofForOneGate,256,256,elements,336404288.0,ns,1
conv,ProofForOneGate,256,256,elements,351041069.0,ns,1
conv,ProofForOneGate,256,256,elements,358119328.0,ns,1
conv,ProofForOneGate,256,256,elements,319123653.0,ns,1
conv,ProofForOneGate,256,256,elements,361366940.0,ns,1
conv,ProofForOneGate,256,256,elements,340968330.0,ns,1
