group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
conv,ProofForAccumConv,512,512,elements,390782670.0,ns,1
conv,ProofForAccumConv,512,512,elements,182552926.0,ns,1
conv,ProofForAccumConv,512,512,elements,191647441.0,ns,1
conv,ProofForAccumConv,512,512,elements,199983269.0,ns,1
conv,ProofForAccumConv,512,512,elements,197119295.0,ns,1
conv,ProofForAccumConv,512,512,elements,213031274.0,ns,1
conv,ProofForAccumConv,512,512,elements,318626404.0,ns,1
conv,ProofForAccumConv,512,512,elements,178652957.0,ns,1
conv,ProofForAccumConv,512,512,elements,177565971.0,ns,1
conv,ProofForAccumConv,512,512,elements,202651665.0,ns,1
conv,ProofForAccumConv,512,512,elements,178392793.0,ns,1
conv,ProofForAccumConv,512,512,elements,186206083.0,ns,1
conv,ProofForAccumConv,512,512,elements,218603700.0,ns,1
conv,ProofForAccumConv,512,512,elements,214474799.0,ns,1
conv,ProofForAccumConv,512,512,elements,222994129.0,ns,1
conv,ProofForAccumConv,512,512,elements,175680277.0,ns,1
conv,ProofForAccumConv,512,512,elements,187494720.0,ns,1
conv,ProofForAccumConv,512,512,elements,187083083.0,ns,1
conv,ProofForAccumConv,512,512,elements,161784983.0,ns,1
conv,ProofForAccumConv,512,512,elements,200611720.0,ns,1
