group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
conv,ProofForAccumConv,64,64,elements,6892571308.0,ns,1
conv,ProofForAccumConv,64,64,elements,6479553203.0,ns,1
conv,ProofForAccumConv,64,64,elements,6482993796.0,ns,1
conv,ProofForAccumConv,64,64,elements,6950890984.0,ns,1
conv,ProofForAccumConv,64,64,elements,9543237726.0,ns,1
conv,ProofForAccumConv,64,64,elements,6614286570.0,ns,1
conv,ProofForAccumConv,64,64,elements,6324682205.0,ns,1
conv,ProofForAccumConv,64,64,elements,6472074588.0,ns,1
conv,ProofForAccumConv,64,64,elements,7865608684.0,ns,1
conv,ProofForAccumConv,64,64,elements,6593775297.0,ns,1
conv,ProofForAccumConv,64,64,elements,7119903287.0,ns,1
conv,ProofForAccumConv,64,64,elements,6765080688.0,ns,1
conv,ProofForAccumConv,64,64,elements,7008795917.0,ns,1
conv,ProofForAccumConv,64,64,elements,8939879893.0,ns,1
conv,ProofForAccumConv,64,64,elements,9685497343.0,ns,1
conv,ProofForAccumConv,64,64,elements,7125801120.0,ns,1
conv,ProofForAccumConv,64,64,elements,7439565070.0,ns,1
conv,ProofForAccumConv,64,64,elements,7064070376.0,ns,1
conv,ProofForAccumConv,64,64,elements,9739134405.0,ns,1
conv,ProofForAccumConv,64,64,elements,7684468122.0,ns,1
