group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,Prove,128,128,elements,7251353367.0,ns,1
dot,Prove,128,128,elements,6896327700.0,ns,1
dot,Prove,128,128,elements,6308670297.0,ns,1
dot,Prove,128,128,elements,6269963980.0,ns,1
dot,Prove,128,128,elements,6581283123.0,ns,1
dot,Prove,128,128,elements,6729065831.0,ns,1
dot,Prove,128,128,elements,6333518349.0,ns,1
dot,Prove,128,128,elements,13000948085.0,ns,1
dot,Prove,128,128,elements,15485146812.0,ns,1
dot,Prove,128,128,elements,18232004400.0,ns,1
dot,Prove,128,128,elements,7163990274.0,ns,1
dot,Prove,128,128,elements,7458245888.0,ns,1
dot,Prove,128,128,elements,7797897517.0,ns,1
dot,Prove,128,128,elements,6956727613.0,ns,1
dot,Prove,128,128,elements,7207574190.0,ns,1
dot,Prove,128,128,elements,9062863935.0,ns,1
dot,Prove,128,128,elements,7680320887.0,ns,1
dot,Prove,128,128,elements,8266337863.0,ns,1
dot,Prove,128,128,elements,6787611421.0,ns,1
dot,Prove,128,128,elements,15300090521.0,ns,1
