group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,Prove,16,16,elements,448923308.0,ns,2
dot,Prove,16,16,elements,328631867.0,ns,2
dot,Prove,16,16,elements,369075267.0,ns,2
dot,Prove,16,16,elements,291369667.0,ns,2
dot,Prove,16,16,elements,342894396.0,ns,2
dot,Prove,16,16,elements,304822085.0,ns,2
dot,Prove,16,16,elements,1201815683.0,ns,2
dot,Prove,16,16,elements,559970508.0,ns,2
dot,Prove,16,16,elements,667049010.0,ns,2
dot,Prove,16,16,elements,492247030.0,ns,2
dot,Prove,16,16,elements,503542586.0,ns,2
dot,Prove,16,16,elements,439004140.0,ns,2
dot,Prove,16,16,elements,310824039.0,ns,2
dot,Prove,16,16,elements,285505670.0,ns,2
dot,Prove,16,16,elements,324000973.0,ns,2
dot,Prove,16,16,elements,320125977.0,ns,2
dot,Prove,16,16,elements,414627012.0,ns,2
dot,Prove,16,16,elements,414853803.0,ns,2
dot,Prove,16,16,elements,288862817.0,ns,2
dot,Prove,16,16,elements,521881715.0,ns,2
