group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,Prove,8,8,elements,5213026996.0,ns,1
dot,Prove,8,8,elements,5167122384.0,ns,1
dot,Prove,8,8,elements,5189689045.0,ns,1
dot,Prove,8,8,elements,4963684511.0,ns,1
dot,Prove,8,8,elements,5162994899.0,ns,1
dot,Prove,8,8,elements,4976448174.0,ns,1
dot,Prove,8,8,elements,5165792908.0,ns,1
dot,Prove,8,8,elements,5013450386.0,ns,1
dot,Prove,8,8,elements,5187142391.0,ns,1
dot,Prove,8,8,elements,6125643878.0,ns,1
dot,Prove,8,8,elements,6187443358.0,ns,1
dot,Prove,8,8,elements,5064007035.0,ns,1
dot,Prove,8,8,elements,5566426108.0,ns,1
dot,Prove,8,8,elements,5101194716.0,ns,1
dot,Prove,8,8,elements,5191898682.0,ns,1
dot,Prove,8,8,elements,5057897759.0,ns,1
dot,Prove,8,8,elements,5173013826.0,ns,1
dot,Prove,8,8,elements,5175228449.0,ns,1
dot,Prove,8,8,elements,4943585080.0,ns,1
dot,Prove,8,8,elements,5147821278.0,ns,1
