group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,Prove,4,4,elements,373297475.0,ns,2
dot,Prove,4,4,elements,318453670.0,ns,2
dot,Prove,4,4,elements,353288144.0,ns,2
dot,Prove,4,4,elements,326947860.0,ns,2
dot,Prove,4,4,elements,387354290.0,ns,2
dot,Prove,4,4,elements,346448385.0,ns,2
dot,Prove,4,4,elements,321669454.0,ns,2
dot,Prove,4,4,elements,798906988.0,ns,2
dot,Prove,4,4,elements,572028675.0,ns,2
dot,Prove,4,4,elements,340002692.0,ns,2
dot,Prove,4,4,elements,343453785.0,ns,2
dot,Prove,4,4,elements,328483352.0,ns,2
dot,Prove,4,4,elements,329414216.0,ns,2
dot,Prove,4,4,elements,368406735.0,ns,2
dot,Prove,4,4,elements,1068141642.0,ns,2
dot,Prove,4,4,elements,990915010.0,ns,2
dot,Prove,4,4,elements,912570732.0,ns,2
dot,Prove,4,4,elements,1066076598.0,ns,2
dot,Prove,4,4,elements,382392660.0,ns,2
dot,Prove,4,4,elements,410541913.0,ns,2
