group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
conv,ProofForOneGate,128,128,elements,471863427.0,ns,2
conv,ProofForOneGate,128,128,elements,450751107.0,ns,2
conv,ProofForOneGate,128,128,elements,1208735715.0,ns,2
conv,ProofForOneGate,128,128,elements,502039665.0,ns,2
conv,ProofForOneGate,128,128,elements,486775765.0,ns,2
conv,ProofForOneGate,128,128,elements,556300635.0,ns,2
conv,ProofForOneGate,128,128,elements,329962760.0,ns,2
conv,ProofForOneGate,128,128,elements,347665396.0,ns,2
conv,ProofForOneGate,128,128,elements,341084961.0,ns,2
conv,ProofForOneGate,128,128,elements,310604053.0,ns,2
conv,ProofForOneGate,128,128,elements,323002457.0,ns,2
conv,ProofForOneGate,128,128,elements,316894540.0,ns,2
conv,ProofForOneGate,128,128,elements,320577454.0,ns,2
conv,ProofForOneGate,128,128,elements,370544204.0,ns,2
conv,ProofForOneGate,128,128,elements,425589962.0,ns,2
conv,ProofForOneGate,128,128,elements,513643780.0,ns,2
conv,ProofForOneGate,128,128,elements,1955810587.0,ns,2
conv,ProofForOneGate,128,128,elements,1462593087.0,ns,2
conv,ProofForOneGate,128,128,elements,863267679.0,ns,2
conv,ProofForOneGate,128,128,elements,527928138.0,ns,2
