group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,KeyGenForAccumConv,128,128,elements,1013291193.0,ns,1
dot,KeyGenForAccumConv,128,128,elements,1114484037.0,ns,1
dot,KeyGenForAccumConv,128,128,elements,994884348.0,ns,1
dot,KeyGenForAccumConv,128,128,elements,1289525283.0,ns,1
dot,KeyGenForAccumConv,128,128,elements,1163524261.0,ns,1
dot,KeyGenForAccumConv,128,128,elements,1304763739.0,ns,1
dot,KeyGenForAccumConv,128,128,elements,1135284613.0,ns,1
dot,KeyGenForAccumConv,128,128,elements,1149732612.0,ns,1
dot,KeyGenForAccumConv,128,128,elements,1306643138.0,ns,1
dot,KeyGenForAccumConv,128,128,elements,1320642318.0,ns,1
