group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,KeyGen,64,64,elements,37292953.0,ns,3
dot,KeyGen,64,64,elements,47998813.0,ns,6
dot,KeyGen,64,64,elements,59041178.0,ns,9
dot,KeyGen,64,64,elements,77081944.0,ns,12
dot,KeyGen,64,64,elements,94379317.0,ns,15
dot,KeyGen,64,64,elements,103560392.0,ns,18
dot,KeyGen,64,64,elements,120201635.0,ns,21
dot,KeyGen,64,64,elements,135962175.0,ns,24
dot,KeyGen,64,64,elements,150387225.0,ns,27
dot,KeyGen,64,64,elements,171099876.0,ns,30
dot,KeyGen,64,64,elements,216454043.0,ns,33
dot,KeyGen,64,64,elements,237742393.0,ns,36
dot,KeyGen,64,64,elements,254172623.0,ns,39
dot,KeyGen,64,64,elements,237133323.0,ns,42
dot,KeyGen,64,64,elements,260683215.0,ns,45
dot,KeyGen,64,64,elements,313624463.0,ns,48
dot,KeyGen,64,64,elements,389527823.0,ns,51
dot,KeyGen,64,64,elements,333226873.0,ns,54
dot,KeyGen,64,64,elements,314337843.0,ns,57
dot,KeyGen,64,64,elements,333127325.0,ns,60
