group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,Prove,32,32,elements,540661315.0,ns,2
dot,Prove,32,32,elements,341315880.0,ns,2
dot,Prove,32,32,elements,300432443.0,ns,2
dot,Prove,32,32,elements,301216764.0,ns,2
dot,Prove,32,32,elements,334117005.0,ns,2
dot,Prove,32,32,elements,279827104.0,ns,2
dot,Prove,32,32,elements,280169495.0,ns,2
dot,Prove,32,32,elements,278074709.0,ns,2
dot,Prove,32,32,elements,277832816.0,ns,2
dot,Prove,32,32,elements,279322230.0,ns,2
dot,Prove,32,32,elements,283117196.0,ns,2
dot,Prove,32,32,elements,277560385.0,ns,2
dot,Prove,32,32,elements,280153789.0,ns,2
dot,Prove,32,32,elements,293401753.0,ns,2
dot,Prove,32,32,elements,286295875.0,ns,2
dot,Prove,32,32,elements,280899922.0,ns,2
dot,Prove,32,32,elements,280937327.0,ns,2
dot,Prove,32,32,elements,377106428.0,ns,2
dot,Prove,32,32,elements,277110790.0,ns,2
dot,Prove,32,32,elements,286652227.0,ns,2
