group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,KeyGen,8,8,elements,31251229.0,ns,4
dot,KeyGen,8,8,elements,43833933.0,ns,8
dot,KeyGen,8,8,elements,64790856.0,ns,12
dot,KeyGen,8,8,elements,86907828.0,ns,16
dot,KeyGen,8,8,elements,316409295.0,ns,20
dot,KeyGen,8,8,elements,212788706.0,ns,24
dot,KeyGen,8,8,elements,201089433.0,ns,28
dot,KeyGen,8,8,elements,240011193.0,ns,32
dot,KeyGen,8,8,elements,218268222.0,ns,36
dot,KeyGen,8,8,elements,214587657.0,ns,40
dot,KeyGen,8,8,elements,234434350.0,ns,44
dot,KeyGen,8,8,elements,643155359.0,ns,48
dot,KeyGen,8,8,elements,411426329.0,ns,52
dot,KeyGen,8,8,elements,383812275.0,ns,56
dot,KeyGen,8,8,elements,323830870.0,ns,60
dot,KeyGen,8,8,elements,664884190.0,ns,64
dot,KeyGen,8,8,elements,831153400.0,ns,68
dot,KeyGen,8,8,elements,602555870.0,ns,72
dot,KeyGen,8,8,elements,516582831.0,ns,76
dot,KeyGen,8,8,elements,707684734.0,ns,80
