group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
conv,ProofForAccumConv,256,256,elements,5611514407.0,ns,1
conv,ProofForAccumConv,256,256,elements,5983316772.0,ns,1
conv,ProofForAccumConv,256,256,elements,5351665805.0,ns,1
conv,ProofForAccumConv,256,256,elements,5359515031.0,ns,1
conv,ProofForAccumConv,256,256,elements,5556264753.0,ns,1
conv,ProofForAccumConv,256,256,elements,5276588180.0,ns,1
conv,ProofForAccumConv,256,256,elements,6318439069.0,ns,1
conv,ProofForAccumConv,256,256,elements,5380633475.0,ns,1
conv,ProofForAccumConv,256,256,elements,6240430786.0,ns,1
conv,ProofForAccumConv,256,256,elements,5498131375.0,ns,1
conv,ProofForAccumConv,256,256,elements,5650220028.0,ns,1
conv,ProofForAccumConv,256,256,elements,5863092745.0,ns,1
conv,ProofForAccumConv,256,256,elements,5852158076.0,ns,1
conv,ProofForAccumConv,256,256,elements,7047990408.0,ns,1
conv,ProofForAccumConv,256,256,elements,5349884378.0,ns,1
conv,ProofForAccumConv,256,256,elements,5420753977.0,ns,1
conv,ProofForAccumConv,256,256,elements,5658549695.0,ns,1
conv,ProofForAccumConv,256,256,elements,5334255959.0,ns,1
conv,ProofForAccumConv,256,256,elements,5788606651.0,ns,1
conv,ProofForAccumConv,256,256,elements,5494303723.0,ns,1
